# iter erro h x y dfx dfdy
0 2.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000000e+00 0.000000000000e+00
1 2.000000000000e+00 5.000000000000e-01 1.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.000000000000e+00
2 1.000000000000e+00 2.500000000000e-01 1.000000000000e+00 5.000000000000e-01 1.000000000000e+00 0.000000000000e+00
3 1.000000000000e+00 5.000000000000e-01 1.500000000000e+00 5.000000000000e-01 0.000000000000e+00 1.000000000000e+00
4 5.000000000000e-01 2.500000000000e-01 1.500000000000e+00 7.500000000000e-01 5.000000000000e-01 0.000000000000e+00
5 5.000000000000e-01 5.000000000000e-01 1.750000000000e+00 7.500000000000e-01 0.000000000000e+00 5.000000000000e-01
6 2.500000000000e-01 2.500000000000e-01 1.750000000000e+00 8.750000000000e-01 2.500000000000e-01 0.000000000000e+00
7 2.500000000000e-01 5.000000000000e-01 1.875000000000e+00 8.750000000000e-01 0.000000000000e+00 2.500000000000e-01
8 1.250000000000e-01 2.500000000000e-01 1.875000000000e+00 9.375000000000e-01 1.250000000000e-01 0.000000000000e+00
9 1.250000000000e-01 5.000000000000e-01 1.937500000000e+00 9.375000000000e-01 0.000000000000e+00 1.250000000000e-01
10 6.250000000000e-02 2.500000000000e-01 1.937500000000e+00 9.687500000000e-01 6.250000000000e-02 0.000000000000e+00
11 6.250000000000e-02 5.000000000000e-01 1.968750000000e+00 9.687500000000e-01 0.000000000000e+00 6.250000000000e-02
12 3.125000000000e-02 2.500000000000e-01 1.968750000000e+00 9.843750000000e-01 3.125000000000e-02 0.000000000000e+00
13 3.125000000000e-02 5.000000000000e-01 1.984375000000e+00 9.843750000000e-01 0.000000000000e+00 3.125000000000e-02
14 1.562500000000e-02 2.500000000000e-01 1.984375000000e+00 9.921875000000e-01 1.562500000000e-02 0.000000000000e+00
15 1.562500000000e-02 5.000000000000e-01 1.992187500000e+00 9.921875000000e-01 0.000000000000e+00 1.562500000000e-02
16 7.812500000000e-03 2.500000000000e-01 1.992187500000e+00 9.960937500000e-01 7.812500000000e-03 0.000000000000e+00
17 7.812500000000e-03 5.000000000000e-01 1.996093750000e+00 9.960937500000e-01 0.000000000000e+00 7.812500000000e-03
18 3.906250000000e-03 2.500000000000e-01 1.996093750000e+00 9.980468750000e-01 3.906250000000e-03 0.000000000000e+00
19 3.906250000000e-03 5.000000000000e-01 1.998046875000e+00 9.980468750000e-01 0.000000000000e+00 3.906250000000e-03
20 1.953125000000e-03 2.500000000000e-01 1.998046875000e+00 9.990234375000e-01 1.953125000000e-03 0.000000000000e+00
21 1.953125000000e-03 5.000000000000e-01 1.999023437500e+00 9.990234375000e-01 0.000000000000e+00 1.953125000000e-03
22 9.765625000000e-04 2.500000000000e-01 1.999023437500e+00 9.995117187500e-01 9.765625000000e-04 0.000000000000e+00
23 9.765625000000e-04 5.000000000000e-01 1.999511718750e+00 9.995117187500e-01 0.000000000000e+00 9.765625000000e-04
24 4.882812500000e-04 2.500000000000e-01 1.999511718750e+00 9.997558593750e-01 4.882812500000e-04 0.000000000000e+00
25 4.882812500000e-04 5.000000000000e-01 1.999755859375e+00 9.997558593750e-01 0.000000000000e+00 4.882812500000e-04
26 2.441406250000e-04 2.500000000000e-01 1.999755859375e+00 9.998779296875e-01 2.441406250000e-04 0.000000000000e+00
27 2.441406250000e-04 5.000000000000e-01 1.999877929688e+00 9.998779296875e-01 0.000000000000e+00 2.441406250000e-04
28 1.220703125000e-04 2.500000000000e-01 1.999877929688e+00 9.999389648438e-01 1.220703125000e-04 0.000000000000e+00
29 1.220703125000e-04 5.000000000000e-01 1.999938964844e+00 9.999389648438e-01 0.000000000000e+00 1.220703125000e-04
30 6.103515625000e-05 2.500000000000e-01 1.999938964844e+00 9.999694824219e-01 6.103515625000e-05 0.000000000000e+00
31 6.103515625000e-05 5.000000000000e-01 1.999969482422e+00 9.999694824219e-01 0.000000000000e+00 6.103515625000e-05
32 3.051757812500e-05 2.500000000000e-01 1.999969482422e+00 9.999847412109e-01 3.051757812500e-05 0.000000000000e+00
33 3.051757812500e-05 5.000000000000e-01 1.999984741211e+00 9.999847412109e-01 0.000000000000e+00 3.051757812500e-05
34 1.525878906250e-05 2.500000000000e-01 1.999984741211e+00 9.999923706055e-01 1.525878906250e-05 0.000000000000e+00
35 1.525878906250e-05 5.000000000000e-01 1.999992370605e+00 9.999923706055e-01 0.000000000000e+00 1.525878906250e-05
36 7.629394531250e-06 2.500000000000e-01 1.999992370605e+00 9.999961853027e-01 7.629394531250e-06 0.000000000000e+00
37 7.629394531250e-06 5.000000000000e-01 1.999996185303e+00 9.999961853027e-01 0.000000000000e+00 7.629394531250e-06
38 3.814697265625e-06 2.500000000000e-01 1.999996185303e+00 9.999980926514e-01 3.814697265625e-06 0.000000000000e+00
39 3.814697265625e-06 5.000000000000e-01 1.999998092651e+00 9.999980926514e-01 0.000000000000e+00 3.814697265625e-06
40 1.907348632812e-06 2.500000000000e-01 1.999998092651e+00 9.999990463257e-01 1.907348632812e-06 0.000000000000e+00
41 1.907348632812e-06 5.000000000000e-01 1.999999046326e+00 9.999990463257e-01 0.000000000000e+00 1.907348632812e-06
42 9.536743164062e-07 2.500000000000e-01 1.999999046326e+00 9.999995231628e-01 9.536743164062e-07 0.000000000000e+00
