eta,f,f_linha,f_duas_linhas
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3205733720e-01
1.0000000000e-03,1.6602866860e-07,3.3205733720e-04,3.3205733719e-01
2.0000000000e-03,6.6411467439e-07,6.6411467437e-04,3.3205733713e-01
3.0000000000e-03,1.4942580173e-06,9.9617201143e-04,3.3205733696e-01
4.0000000000e-03,2.6564586972e-06,1.3282293482e-03,3.3205733662e-01
5.0000000000e-03,4.1507167136e-06,1.6602866846e-03,3.3205733606e-01
6.0000000000e-03,5.9770320661e-06,1.9923440202e-03,3.3205733522e-01
7.0000000000e-03,8.1354047538e-06,2.3244013549e-03,3.3205733405e-01
8.0000000000e-03,1.0625834775e-05,2.6564586882e-03,3.3205733250e-01
9.0000000000e-03,1.3448322130e-05,2.9885160198e-03,3.3205733051e-01
1.0000000000e-02,1.6602866814e-05,3.3205733491e-03,3.3205732802e-01
1.1000000000e-02,2.0089468827e-05,3.6526306756e-03,3.3205732497e-01
1.2000000000e-02,2.3908128164e-05,3.9846879988e-03,3.3205732133e-01
1.3000000000e-02,2.8058844823e-05,4.3167453180e-03,3.3205731702e-01
1.4000000000e-02,3.2541618799e-05,4.6488026326e-03,3.3205731199e-01
1.5000000000e-02,3.7356450087e-05,4.9808599418e-03,3.3205730619e-01
1.6000000000e-02,4.2503338680e-05,5.3129172447e-03,3.3205729957e-01
1.7000000000e-02,4.7982284574e-05,5.6449745406e-03,3.3205729206e-01
1.8000000000e-02,5.3793287759e-05,5.9770318285e-03,3.3205728362e-01
1.9000000000e-02,5.9936348228e-05,6.3090891075e-03,3.3205727418e-01
2.0000000000e-02,6.6411465971e-05,6.6411463765e-03,3.3205726370e-01
2.1000000000e-02,7.3218640977e-05,6.9732036345e-03,3.3205725211e-01
2.2000000000e-02,8.0357873236e-05,7.3052608804e-03,3.3205723936e-01
2.3000000000e-02,8.7829162733e-05,7.6373181129e-03,3.3205722541e-01
2.4000000000e-02,9.5632509457e-05,7.9693753308e-03,3.3205721018e-01
2.5000000000e-02,1.0376791339e-04,8.3014325328e-03,3.3205719363e-01
2.6000000000e-02,1.1223537452e-04,8.6334897176e-03,3.3205717571e-01
2.7000000000e-02,1.2103489282e-04,8.9655468837e-03,3.3205715635e-01
2.8000000000e-02,1.3016646828e-04,9.2976040298e-03,3.3205713550e-01
2.9000000000e-02,1.3963010087e-04,9.6296611542e-03,3.3205711311e-01
3.0000000000e-02,1.4942579058e-04,9.9617182554e-03,3.3205708911e-01
3.1000000000e-02,1.5955353737e-04,1.0293775332e-02,3.3205706347e-01
