# omega iteracoes erro_final tempo_s convergiu
0.8000 41519 9.99798999e-09 4.69321160e+00 1
1.0000 28464 9.99725813e-09 3.17429290e+00 1
1.2000 19497 9.99771288e-09 2.17621570e+00 1
1.4000 12896 9.99470728e-09 1.43839430e+00 1
1.6000 7774 9.99320093e-09 8.61873200e-01 1
1.8000 3602 9.99416017e-09 4.01546500e-01 1
1.9000 1721 9.91039428e-09 1.91656000e-01 1
1.9400 934 9.82018378e-09 1.05096200e-01 1
1.9500 696 9.86102577e-09 7.74247000e-02 1
1.9550 527 9.78776882e-09 5.97046000e-02 1
1.9600 500 9.11623488e-09 5.57229000e-02 1
1.9650 571 8.38406322e-09 6.36123000e-02 1
1.9700 662 9.75610703e-09 7.34091000e-02 1
1.9800 1003 8.90429419e-09 1.12006800e-01 1
