# x temperatura_numerica temperatura_analitica erro_percentual
0.00000000e+00 1.00000000e+02 1.00000000e+02 0.00000000e+00
3.33333333e-02 9.64903875e+01 9.64252897e+01 6.75111321e-02
6.66666667e-02 9.31269849e+01 9.30490289e+01 8.37795805e-02
1.00000000e-01 8.99425875e+01 8.98618369e+01 8.98608588e-02
1.33333333e-01 8.69365311e+01 8.68548584e+01 9.40334908e-02
1.66666667e-01 8.41018871e+01 8.40197387e+01 9.77726819e-02
2.00000000e-01 8.14310292e+01 8.13486007e+01 1.01327487e-01
2.33333333e-01 7.89165914e+01 7.88340229e+01 1.04737135e-01
2.66666667e-01 7.65516095e+01 7.64690186e+01 1.08005743e-01
3.00000000e-01 7.43295289e+01 7.42470169e+01 1.11131743e-01
3.33333333e-01 7.22441900e+01 7.21618441e+01 1.14112807e-01
3.66666667e-01 7.02898124e+01 7.02077068e+01 1.16946671e-01
4.00000000e-01 6.84609784e+01 6.83791755e+01 1.19631288e-01
4.33333333e-01 6.67526186e+01 6.66711698e+01 1.22164849e-01
4.66666667e-01 6.51599973e+01 6.50789442e+01 1.24545791e-01
5.00000000e-01 6.36786998e+01 6.35980748e+01 1.26772803e-01
5.33333333e-01 6.23046200e+01 6.22244470e+01 1.28844817e-01
5.66666667e-01 6.10339488e+01 6.09542444e+01 1.30761005e-01
6.00000000e-01 5.98631640e+01 5.97839379e+01 1.32520768e-01
6.33333333e-01 5.87890201e+01 5.87102757e+01 1.34123726e-01
6.66666667e-01 5.78085397e+01 5.77302749e+01 1.35569702e-01
7.00000000e-01 5.69190048e+01 5.68412126e+01 1.36858705e-01
7.33333333e-01 5.61179495e+01 5.60406186e+01 1.37990909e-01
7.66666667e-01 5.54031535e+01 5.53262684e+01 1.38966636e-01
8.00000000e-01 5.47726352e+01 5.46961774e+01 1.39786328e-01
8.33333333e-01 5.42246469e+01 5.41485949e+01 1.40450531e-01
8.66666667e-01 5.37576695e+01 5.36819995e+01 1.40959865e-01
9.00000000e-01 5.33704086e+01 5.32950947e+01 1.41315008e-01
9.33333333e-01 5.30617907e+01 5.29868055e+01 1.41516672e-01
9.66666667e-01 5.28309603e+01 5.27562756e+01 1.41565583e-01
1.00000000e+00 5.26772775e+01 5.26028642e+01 1.41462466e-01
